,núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
0,1.0,2015.0,Enero,1.0,Jueves,16.0,3.0,2.0,1.0,101.0,1.0,1.0,Hombre,19.0,1.0,2.0,2.0,4.0,9.0,4.0,21.0,Negro,2011.0,5.0,1.0
1,2.0,2015.0,Enero,1.0,Jueves,22.0,4.0,3.0,1.0,101.0,1.0,16.0,Hombre,32.0,1.0,5.0,5.0,7.0,1.0,4.0,21.0,Negro,9999.0,6.0,1.0
3,4.0,2015.0,Enero,1.0,Jueves,9.0,2.0,1.0,1.0,101.0,1.0,12.0,Hombre,20.0,1.0,3.0,3.0,5.0,9.0,4.0,40.0,Negro,9999.0,6.0,2.0
5,6.0,2015.0,Enero,1.0,Jueves,8.0,2.0,1.0,1.0,114.0,2.0,99.0,Hombre,19.0,1.0,2.0,2.0,4.0,1.0,4.0,41.0,Gris,9999.0,6.0,3.0
12,13.0,2015.0,Enero,2.0,Viernes,10.0,2.0,1.0,1.0,101.0,1.0,10.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,49.0,Azul,9999.0,6.0,1.0
18,19.0,2015.0,Enero,2.0,Viernes,7.0,2.0,1.0,12.0,1201.0,2.0,99.0,Hombre,16.0,2.0,2.0,2.0,4.0,9.0,4.0,42.0,Negro,9999.0,6.0,1.0
20,21.0,2015.0,Enero,2.0,Viernes,17.0,3.0,2.0,18.0,1801.0,2.0,99.0,Mujer,45.0,1.0,8.0,8.0,10.0,9.0,4.0,99.0,Rojo,9999.0,6.0,3.0
29,30.0,2015.0,Enero,3.0,Sabado,19.0,4.0,3.0,18.0,1801.0,2.0,99.0,Hombre,20.0,1.0,3.0,3.0,5.0,9.0,4.0,14.0,Negro,9999.0,6.0,1.0
32,33.0,2015.0,Enero,4.0,Domingo,17.0,3.0,2.0,1.0,101.0,1.0,1.0,Hombre,35.0,1.0,6.0,6.0,8.0,9.0,4.0,37.0,Negro,2011.0,5.0,1.0
38,39.0,2015.0,Enero,4.0,Domingo,10.0,2.0,1.0,5.0,502.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,2.0,Negro,2014.0,5.0,3.0
48,49.0,2015.0,Enero,4.0,Domingo,17.0,3.0,2.0,4.0,407.0,2.0,99.0,Hombre,24.0,1.0,3.0,3.0,5.0,2.0,4.0,41.0,Negro,9999.0,6.0,1.0
56,57.0,2015.0,Enero,6.0,Martes,4.0,1.0,1.0,10.0,1014.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,1.0,4.0,2.0,Rojo,9999.0,6.0,3.0
74,75.0,2015.0,Enero,9.0,Viernes,20.0,4.0,3.0,1.0,101.0,1.0,1.0,Hombre,20.0,1.0,3.0,3.0,5.0,9.0,4.0,21.0,Corinto,9999.0,6.0,1.0
75,76.0,2015.0,Enero,9.0,Viernes,23.0,4.0,3.0,1.0,101.0,1.0,6.0,Hombre,20.0,1.0,3.0,3.0,5.0,9.0,4.0,24.0,Negro,9999.0,6.0,1.0
82,83.0,2015.0,Enero,10.0,Sabado,12.0,3.0,2.0,1.0,115.0,2.0,99.0,Hombre,50.0,1.0,9.0,9.0,11.0,9.0,4.0,99.0,Rojo,9999.0,6.0,1.0
87,88.0,2015.0,Enero,10.0,Sabado,21.0,4.0,3.0,5.0,507.0,2.0,99.0,Hombre,26.0,1.0,4.0,4.0,6.0,9.0,4.0,99.0,Azul,9999.0,6.0,1.0
91,92.0,2015.0,Enero,10.0,Sabado,18.0,4.0,3.0,13.0,1301.0,1.0,11.0,Hombre,19.0,1.0,2.0,2.0,4.0,9.0,4.0,42.0,Azul,2006.0,4.0,1.0
93,94.0,2015.0,Enero,10.0,Sabado,11.0,2.0,1.0,18.0,1801.0,1.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,9.0,4.0,21.0,Azul,2006.0,4.0,1.0
97,98.0,2015.0,Enero,11.0,Domingo,1.0,1.0,1.0,1.0,101.0,1.0,18.0,Hombre,21.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,9999.0,6.0,1.0
99,100.0,2015.0,Enero,11.0,Domingo,15.0,3.0,2.0,1.0,115.0,2.0,12.0,Hombre,29.0,1.0,4.0,4.0,6.0,1.0,4.0,21.0,Negro,9999.0,6.0,3.0
100,101.0,2015.0,Enero,11.0,Domingo,11.0,2.0,1.0,1.0,117.0,1.0,9.0,Hombre,23.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,2014.0,5.0,2.0
101,102.0,2015.0,Enero,11.0,Domingo,0.0,1.0,1.0,1.0,115.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,1.0,4.0,99.0,Negro,9999.0,6.0,4.0
105,106.0,2015.0,Enero,11.0,Domingo,18.0,4.0,3.0,11.0,1101.0,2.0,99.0,Hombre,29.0,1.0,4.0,4.0,6.0,2.0,4.0,42.0,Rojo,9999.0,6.0,2.0
119,120.0,2015.0,Enero,12.0,Lunes,14.0,3.0,2.0,2.0,201.0,2.0,99.0,Hombre,33.0,1.0,5.0,5.0,7.0,1.0,4.0,2.0,Rojo,9999.0,6.0,2.0
131,132.0,2015.0,Enero,14.0,Miercoles,19.0,4.0,3.0,20.0,2001.0,2.0,1.0,Mujer,44.0,1.0,7.0,7.0,9.0,9.0,4.0,42.0,Rojo,2007.0,4.0,1.0
132,133.0,2015.0,Enero,14.0,Miercoles,23.0,4.0,3.0,19.0,1901.0,2.0,99.0,Hombre,17.0,2.0,2.0,2.0,4.0,2.0,4.0,42.0,Rojo,9999.0,6.0,4.0
169,170.0,2015.0,Enero,17.0,Sabado,14.0,3.0,2.0,2.0,205.0,2.0,99.0,Hombre,26.0,1.0,4.0,4.0,6.0,2.0,4.0,42.0,Negro,1986.0,2.0,1.0
171,172.0,2015.0,Enero,17.0,Sabado,10.0,2.0,1.0,17.0,1707.0,2.0,99.0,Mujer,20.0,1.0,3.0,3.0,5.0,9.0,4.0,16.0,Negro,9999.0,6.0,1.0
175,176.0,2015.0,Enero,18.0,Domingo,2.0,1.0,1.0,1.0,101.0,1.0,10.0,Hombre,37.0,1.0,6.0,6.0,8.0,9.0,4.0,21.0,Rojo,2012.0,5.0,1.0
178,179.0,2015.0,Enero,18.0,Domingo,5.0,1.0,1.0,22.0,2213.0,1.0,3.0,Hombre,45.0,1.0,8.0,8.0,10.0,9.0,4.0,42.0,Negro,2006.0,4.0,2.0
191,192.0,2015.0,Enero,19.0,Lunes,16.0,3.0,2.0,22.0,2205.0,2.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,9.0,4.0,99.0,Negro,9999.0,6.0,2.0
197,198.0,2015.0,Enero,20.0,Martes,21.0,4.0,3.0,1.0,101.0,1.0,7.0,Hombre,52.0,1.0,9.0,9.0,11.0,9.0,4.0,42.0,Negro,9999.0,6.0,1.0
198,199.0,2015.0,Enero,20.0,Martes,21.0,4.0,3.0,6.0,602.0,2.0,99.0,Mujer,27.0,1.0,4.0,4.0,6.0,9.0,4.0,21.0,Negro,9999.0,6.0,1.0
204,205.0,2015.0,Enero,21.0,Miercoles,6.0,2.0,1.0,17.0,1701.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,9.0,4.0,99.0,Rojo,9999.0,6.0,2.0
205,206.0,2015.0,Enero,22.0,Jueves,16.0,3.0,2.0,1.0,101.0,1.0,1.0,Hombre,30.0,1.0,5.0,5.0,7.0,9.0,4.0,61.0,Negro,2000.0,4.0,1.0
210,211.0,2015.0,Enero,23.0,Viernes,13.0,3.0,2.0,21.0,2101.0,2.0,99.0,Hombre,26.0,1.0,4.0,4.0,6.0,1.0,4.0,21.0,Blanco,9999.0,6.0,1.0
213,214.0,2015.0,Enero,23.0,Viernes,22.0,4.0,3.0,5.0,501.0,1.0,1.0,Hombre,15.0,2.0,2.0,2.0,4.0,1.0,4.0,20.0,Azul,2013.0,5.0,1.0
219,220.0,2015.0,Enero,23.0,Viernes,17.0,3.0,2.0,17.0,1703.0,2.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,1.0,4.0,2.0,Rojo,9999.0,6.0,1.0
223,224.0,2015.0,Enero,24.0,Sabado,5.0,1.0,1.0,1.0,101.0,1.0,5.0,Hombre,35.0,1.0,6.0,6.0,8.0,9.0,4.0,24.0,Rojo,9999.0,6.0,2.0
224,225.0,2015.0,Enero,24.0,Sabado,2.0,1.0,1.0,1.0,103.0,2.0,99.0,Hombre,31.0,1.0,5.0,5.0,7.0,9.0,4.0,99.0,Negro,9999.0,6.0,2.0
227,228.0,2015.0,Enero,24.0,Sabado,0.0,1.0,1.0,1.0,114.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,9.0,4.0,21.0,Rojo,9999.0,6.0,1.0
241,242.0,2015.0,Enero,25.0,Domingo,2.0,1.0,1.0,1.0,115.0,1.0,5.0,Hombre,22.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,9999.0,6.0,2.0
250,251.0,2015.0,Enero,26.0,Lunes,15.0,3.0,2.0,1.0,108.0,1.0,7.0,Hombre,26.0,1.0,4.0,4.0,6.0,9.0,4.0,40.0,Gris,2009.0,4.0,1.0
251,252.0,2015.0,Enero,26.0,Lunes,18.0,4.0,3.0,20.0,2001.0,2.0,99.0,Mujer,28.0,1.0,4.0,4.0,6.0,9.0,4.0,42.0,Rojo,9999.0,6.0,1.0
266,267.0,2015.0,Enero,27.0,Martes,21.0,4.0,3.0,1.0,108.0,1.0,3.0,Hombre,25.0,1.0,4.0,4.0,6.0,9.0,4.0,99.0,Negro,2007.0,4.0,1.0
268,269.0,2015.0,Enero,27.0,Martes,17.0,3.0,2.0,18.0,1801.0,2.0,99.0,Mujer,68.0,1.0,12.0,11.0,14.0,9.0,4.0,40.0,Corinto,2008.0,4.0,1.0
288,289.0,2015.0,Enero,30.0,Viernes,17.0,3.0,2.0,10.0,1010.0,2.0,99.0,Hombre,38.0,1.0,6.0,6.0,8.0,9.0,4.0,42.0,Negro,9999.0,6.0,1.0
290,291.0,2015.0,Enero,31.0,Sabado,20.0,4.0,3.0,1.0,101.0,1.0,12.0,Hombre,24.0,1.0,3.0,3.0,5.0,9.0,4.0,99.0,Rojo,9999.0,6.0,1.0
307,308.0,2015.0,Febrero,1.0,Domingo,12.0,3.0,2.0,9.0,920.0,2.0,99.0,Hombre,47.0,1.0,8.0,8.0,10.0,9.0,4.0,99.0,Rojo,9999.0,6.0,2.0
320,321.0,2015.0,Febrero,2.0,Lunes,14.0,3.0,2.0,5.0,506.0,2.0,99.0,Hombre,39.0,1.0,6.0,6.0,8.0,9.0,4.0,21.0,Azul,9999.0,6.0,4.0
324,325.0,2015.0,Febrero,2.0,Lunes,11.0,2.0,1.0,8.0,801.0,2.0,99.0,Hombre,53.0,1.0,9.0,9.0,11.0,9.0,4.0,2.0,Anaranjado,9999.0,6.0,1.0
336,337.0,2015.0,Febrero,4.0,Miercoles,20.0,4.0,3.0,1.0,101.0,1.0,24.0,Hombre,31.0,1.0,5.0,5.0,7.0,1.0,4.0,21.0,Rojo,2008.0,4.0,1.0
337,338.0,2015.0,Febrero,4.0,Miercoles,5.0,1.0,1.0,3.0,308.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,1.0,4.0,2.0,Rojo,9999.0,6.0,2.0
343,344.0,2015.0,Febrero,5.0,Jueves,8.0,2.0,1.0,21.0,2101.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,1.0,4.0,40.0,Azul,2008.0,4.0,2.0
349,350.0,2015.0,Febrero,6.0,Viernes,16.0,3.0,2.0,1.0,101.0,1.0,1.0,Hombre,44.0,1.0,7.0,7.0,9.0,9.0,4.0,21.0,Rojo,9999.0,6.0,1.0
356,357.0,2015.0,Febrero,6.0,Viernes,7.0,2.0,1.0,19.0,1906.0,2.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,1.0,4.0,42.0,Rojo,9999.0,6.0,1.0
362,363.0,2015.0,Febrero,6.0,Viernes,2.0,1.0,1.0,11.0,1103.0,2.0,99.0,Hombre,30.0,1.0,5.0,5.0,7.0,1.0,4.0,99.0,Azul,2006.0,4.0,2.0
366,367.0,2015.0,Febrero,6.0,Viernes,10.0,2.0,1.0,17.0,1705.0,2.0,99.0,Hombre,26.0,1.0,4.0,4.0,6.0,9.0,4.0,24.0,Negro,9999.0,6.0,1.0
370,371.0,2015.0,Febrero,6.0,Viernes,14.0,3.0,2.0,4.0,413.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,9.0,4.0,40.0,Rojo,2014.0,5.0,1.0
377,378.0,2015.0,Febrero,7.0,Sabado,12.0,3.0,2.0,21.0,2101.0,2.0,99.0,Hombre,26.0,1.0,4.0,4.0,6.0,1.0,4.0,40.0,Negro,9999.0,6.0,1.0
380,381.0,2015.0,Febrero,7.0,Sabado,9.0,2.0,1.0,5.0,502.0,2.0,99.0,Hombre,30.0,1.0,5.0,5.0,7.0,1.0,4.0,2.0,Negro,9999.0,6.0,1.0
389,390.0,2015.0,Febrero,7.0,Sabado,8.0,2.0,1.0,2.0,202.0,2.0,99.0,Hombre,39.0,1.0,6.0,6.0,8.0,1.0,4.0,42.0,Azul,2013.0,5.0,1.0
391,392.0,2015.0,Febrero,7.0,Sabado,16.0,3.0,2.0,17.0,1708.0,2.0,99.0,Hombre,33.0,1.0,5.0,5.0,7.0,1.0,4.0,19.0,Azul,9999.0,6.0,1.0
401,402.0,2015.0,Febrero,8.0,Domingo,20.0,4.0,3.0,21.0,2106.0,2.0,99.0,Hombre,40.0,1.0,7.0,7.0,9.0,1.0,4.0,40.0,Rojo,2010.0,5.0,1.0
406,407.0,2015.0,Febrero,8.0,Domingo,18.0,4.0,3.0,5.0,509.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Azul,9999.0,6.0,1.0
421,422.0,2015.0,Febrero,9.0,Lunes,13.0,3.0,2.0,1.0,101.0,1.0,18.0,Hombre,17.0,2.0,2.0,2.0,4.0,1.0,4.0,24.0,Negro,9999.0,6.0,1.0
428,429.0,2015.0,Febrero,9.0,Lunes,14.0,3.0,2.0,4.0,401.0,2.0,99.0,Hombre,21.0,1.0,3.0,3.0,5.0,1.0,4.0,99.0,Negro,2011.0,5.0,1.0
433,434.0,2015.0,Febrero,10.0,Martes,18.0,4.0,3.0,10.0,1014.0,2.0,99.0,Hombre,20.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,2011.0,5.0,1.0
435,436.0,2015.0,Febrero,10.0,Martes,15.0,3.0,2.0,18.0,1804.0,2.0,99.0,Mujer,12.0,2.0,1.0,1.0,3.0,1.0,4.0,99.0,Rojo,9999.0,6.0,1.0
436,437.0,2015.0,Febrero,10.0,Martes,19.0,4.0,3.0,18.0,1801.0,2.0,99.0,Mujer,25.0,1.0,4.0,4.0,6.0,1.0,4.0,21.0,Negro,9999.0,6.0,1.0
448,449.0,2015.0,Febrero,12.0,Jueves,10.0,2.0,1.0,17.0,1706.0,2.0,99.0,Hombre,18.0,1.0,2.0,2.0,4.0,1.0,4.0,14.0,Blanco,2013.0,5.0,1.0
449,450.0,2015.0,Febrero,12.0,Jueves,19.0,4.0,3.0,1.0,101.0,1.0,1.0,Hombre,32.0,1.0,5.0,5.0,7.0,1.0,4.0,2.0,Negro,2008.0,4.0,1.0
468,469.0,2015.0,Febrero,14.0,Sabado,3.0,1.0,1.0,3.0,301.0,2.0,99.0,Hombre,32.0,1.0,5.0,5.0,7.0,1.0,4.0,28.0,Negro,1993.0,3.0,3.0
486,487.0,2015.0,Febrero,15.0,Domingo,23.0,4.0,3.0,4.0,401.0,1.0,2.0,Hombre,23.0,1.0,3.0,3.0,5.0,1.0,4.0,36.0,Azul,2014.0,5.0,1.0
495,496.0,2015.0,Febrero,16.0,Lunes,21.0,4.0,3.0,6.0,603.0,2.0,99.0,Mujer,18.0,1.0,2.0,2.0,4.0,1.0,4.0,40.0,Azul,1999.0,3.0,2.0
497,498.0,2015.0,Febrero,16.0,Lunes,9.0,2.0,1.0,9.0,920.0,2.0,99.0,Hombre,18.0,1.0,2.0,2.0,4.0,1.0,4.0,24.0,Rojo,9999.0,6.0,2.0
513,514.0,2015.0,Febrero,17.0,Martes,8.0,2.0,1.0,10.0,1001.0,1.0,2.0,Hombre,23.0,1.0,3.0,3.0,5.0,2.0,4.0,21.0,Rojo,9999.0,6.0,2.0
544,545.0,2015.0,Febrero,19.0,Jueves,16.0,3.0,2.0,6.0,602.0,2.0,99.0,Hombre,24.0,1.0,3.0,3.0,5.0,1.0,4.0,42.0,Negro,2007.0,4.0,1.0
562,563.0,2015.0,Febrero,21.0,Sabado,0.0,1.0,1.0,1.0,108.0,1.0,4.0,Hombre,22.0,1.0,3.0,3.0,5.0,2.0,4.0,20.0,Negro,2013.0,5.0,1.0
584,585.0,2015.0,Febrero,23.0,Lunes,14.0,3.0,2.0,22.0,2212.0,2.0,99.0,Hombre,29.0,1.0,4.0,4.0,6.0,1.0,4.0,21.0,Blanco,9999.0,6.0,1.0
594,595.0,2015.0,Febrero,25.0,Miercoles,13.0,3.0,2.0,22.0,2206.0,2.0,99.0,Hombre,32.0,1.0,5.0,5.0,7.0,1.0,4.0,42.0,Azul,9999.0,6.0,1.0
604,605.0,2015.0,Febrero,26.0,Jueves,8.0,2.0,1.0,6.0,601.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Rojo,2009.0,4.0,1.0
619,620.0,2015.0,Febrero,27.0,Viernes,3.0,1.0,1.0,22.0,2205.0,2.0,99.0,Hombre,44.0,1.0,7.0,7.0,9.0,1.0,4.0,99.0,Negro,2009.0,4.0,4.0
625,626.0,2015.0,Febrero,27.0,Viernes,23.0,4.0,3.0,5.0,501.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,99.0,Rojo,9999.0,6.0,1.0
628,629.0,2015.0,Febrero,28.0,Sabado,1.0,1.0,1.0,1.0,101.0,1.0,12.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,42.0,Blanco,9999.0,6.0,1.0
629,630.0,2015.0,Febrero,28.0,Sabado,20.0,4.0,3.0,1.0,114.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,1.0,4.0,24.0,Negro,9999.0,6.0,1.0
630,631.0,2015.0,Febrero,28.0,Sabado,18.0,4.0,3.0,1.0,114.0,2.0,99.0,Mujer,36.0,1.0,6.0,6.0,8.0,1.0,4.0,24.0,Rojo,9999.0,6.0,1.0
650,651.0,2015.0,Marzo,1.0,Domingo,19.0,4.0,3.0,1.0,101.0,1.0,13.0,Hombre,20.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Azul,2012.0,5.0,1.0
651,652.0,2015.0,Marzo,1.0,Domingo,9.0,2.0,1.0,1.0,115.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,9999.0,6.0,1.0
672,673.0,2015.0,Marzo,2.0,Lunes,22.0,4.0,3.0,17.0,1701.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,2.0,4.0,24.0,Negro,9999.0,6.0,3.0
679,680.0,2015.0,Marzo,4.0,Miercoles,2.0,1.0,1.0,1.0,101.0,1.0,5.0,Hombre,35.0,1.0,6.0,6.0,8.0,2.0,4.0,42.0,Negro,2005.0,4.0,2.0
681,682.0,2015.0,Marzo,4.0,Miercoles,11.0,2.0,1.0,1.0,101.0,1.0,1.0,Hombre,35.0,1.0,6.0,6.0,8.0,9.0,4.0,99.0,Gris,2008.0,4.0,1.0
695,696.0,2015.0,Marzo,5.0,Jueves,13.0,3.0,2.0,17.0,1701.0,2.0,99.0,Hombre,17.0,2.0,2.0,2.0,4.0,9.0,4.0,2.0,Negro,2014.0,5.0,1.0
696,697.0,2015.0,Marzo,5.0,Jueves,17.0,3.0,2.0,4.0,406.0,2.0,99.0,Hombre,38.0,1.0,6.0,6.0,8.0,9.0,4.0,40.0,Azul,2012.0,5.0,1.0
