Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
JAPON|EL CARMEN|02/10/2020| 8704315100|1994|TOYOTA|XTRA CAB 4X4 DX|3000|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|29716.33|3565.96|
JAPON|TECUN UMAN|02/10/2020| 8704216900|2003|ISUZU|NQR TURBO INTERCOOLED|4751|PESADO|CAMION FURGON|OCASIONAL|DIESEL|3|2|3.4|33619.1|4034.29|
JAPON|EL CARMEN|02/10/2020| 8704315100|1992|TOYOTA|XTRA CAB 4X2 DLX|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|4|2|1|28985.35|3478.24|
ALEMANIA REP. FED.|G8, CENTRALSA|02/10/2020| 8703249000|2001|BMW|7 SERIES 740IL|4400|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|16638.34|1996.6|
REINO UNIDO|SANTO TOMAS DE CASTILLA|02/10/2020| 8703237900|2002|HONDA|CR-V EX 4X4|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|16500.13|1980.02|
CANADA|SANTO TOMAS DE CASTILLA|02/10/2020| 8703237900|2014|HONDA|CIVIC SI|2400|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|17917.66|2150.12|
ESTADOS UNIDOS|TECUN UMAN|02/10/2020| 8703236900|1998|TOYOTA|COROLLA CE|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19299.86|2315.98|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|02/10/2020| 8703236900|2013|HONDA|CIVIC EX-L|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|17878.05|2145.37|
ESTADOS UNIDOS|EL CARMEN|02/10/2020| 8704215100|1999|FORD|F250 LARIAT SUPER CAB 4X4|7300|LIVIANO|PICK UP|OCASIONAL|DIESEL|6|4|1|51606.34|6192.76|
JAPON|EL CARMEN|02/10/2020| 8703236900|2001|HONDA|CR-V EX 4WD|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|11756.1|1410.73|
JAPON|EL CARMEN|02/10/2020| 8704315100|1982|TOYOTA|STANDARD 4X2|2400|LIVIANO|PICK UP|OCASIONAL|GASOLINA|2|2|1|25044.36|3005.32|
